param_C,param_penalty,mean_test_score,std_test_score,rank_test_score
10.0,l2,0.8972070684129736,0.0009929233912359722,1
100.0,l2,0.895870751186852,0.0010826644287743926,2
10.0,l1,0.8954995449144597,0.0016367860110135795,3
100.0,l1,0.8911639292911773,0.001142191672782,4
1.0,l2,0.8823144967660073,0.0010145784155937503,5
1.0,l1,0.8624180952130557,0.0023924996790028914,6
0.1,l2,0.8261592626870149,0.003363007829274839,7
0.1,l1,0.7021337082270305,0.0034703865512085087,8
0.01,l2,0.598954723660033,0.00314930361191081,9
0.01,l1,0.5661999533367144,0.0006876477997702659,10
0.001,l2,0.5578256540369888,1.313142119689914e-05,11
0.001,l1,0.5578256540369888,1.313142119689914e-05,11
